,stat,statistic,pvalue,label,PC,method,reg
0,wasserstein,0.0,,Real,1,combined_PCA,
1,wasserstein,0.0,,Real,2,combined_PCA,
2,wasserstein,0.0,,Real,3,combined_PCA,
3,wasserstein,0.0,,Real,4,combined_PCA,
4,wasserstein,0.0,,Real,5,combined_PCA,
5,wasserstein,0.0,,Real,6,combined_PCA,
6,wasserstein,0.11909037999207402,,Truth,1,combined_PCA,
7,wasserstein,0.04194515227866716,,Truth,2,combined_PCA,
8,wasserstein,0.10192658075180258,,Truth,3,combined_PCA,
9,wasserstein,0.08273795024069293,,Truth,4,combined_PCA,
10,wasserstein,0.05807738964783936,,Truth,5,combined_PCA,
11,wasserstein,0.05767157583511514,,Truth,6,combined_PCA,
12,wasserstein,3.542921389970882,,Indep,1,combined_PCA,
13,wasserstein,3.27964101621997,,Indep,2,combined_PCA,
14,wasserstein,3.2460864243742753,,Indep,3,combined_PCA,
15,wasserstein,2.840907096047318,,Indep,4,combined_PCA,
16,wasserstein,2.8308953979859695,,Indep,5,combined_PCA,
17,wasserstein,2.7329696108802386,,Indep,6,combined_PCA,
18,wasserstein,3.4671120775159046,,Markov,1,combined_PCA,
19,wasserstein,3.217289018232079,,Markov,2,combined_PCA,
20,wasserstein,3.1641935117505127,,Markov,3,combined_PCA,
21,wasserstein,2.533476017378653,,Markov,4,combined_PCA,
22,wasserstein,2.7625691130858447,,Markov,5,combined_PCA,
23,wasserstein,2.592482705362092,,Markov,6,combined_PCA,
24,wasserstein,2.400715961450829,,HMM,1,combined_PCA,
25,wasserstein,2.682685039125883,,HMM,2,combined_PCA,
26,wasserstein,1.7269206304527112,,HMM,3,combined_PCA,
27,wasserstein,0.9161937258716599,,HMM,4,combined_PCA,
28,wasserstein,1.9263204691870013,,HMM,5,combined_PCA,
29,wasserstein,1.7575082260774613,,HMM,6,combined_PCA,
30,wasserstein,0.15237550282379247,,WGAN,1,combined_PCA,
31,wasserstein,0.28655605548084806,,WGAN,2,combined_PCA,
32,wasserstein,0.34016162106281156,,WGAN,3,combined_PCA,
33,wasserstein,0.1139470740076341,,WGAN,4,combined_PCA,
34,wasserstein,0.1465050431716002,,WGAN,5,combined_PCA,
35,wasserstein,0.09899007159498584,,WGAN,6,combined_PCA,
36,wasserstein,0.1700640925984253,,RBM,1,combined_PCA,
37,wasserstein,0.2241444360485671,,RBM,2,combined_PCA,
38,wasserstein,0.09309185347647864,,RBM,3,combined_PCA,
39,wasserstein,0.11937301888190516,,RBM,4,combined_PCA,
40,wasserstein,0.15226163382688646,,RBM,5,combined_PCA,
41,wasserstein,0.4079214750190733,,RBM,6,combined_PCA,
42,wasserstein,0.2955596879589491,,GPC,1,combined_PCA,
43,wasserstein,0.3422805542454885,,GPC,2,combined_PCA,
44,wasserstein,0.3440986201219028,,GPC,3,combined_PCA,
45,wasserstein,0.1343342735547442,,GPC,4,combined_PCA,
46,wasserstein,0.340867235323354,,GPC,5,combined_PCA,
47,wasserstein,0.21696973461983843,,GPC,6,combined_PCA,
0,wasserstein2D,0.0017646481474563871,,Real,1-2,combined_PCA,0.002
1,wasserstein2D,0.0018640511802729758,,Real,3-4,combined_PCA,0.002
2,wasserstein2D,0.0018798795376530778,,Real,5-6,combined_PCA,0.002
3,wasserstein2D,0.0018373922581372943,,Truth,1-2,combined_PCA,0.002
4,wasserstein2D,0.001974833098184562,,Truth,3-4,combined_PCA,0.002
5,wasserstein2D,0.001939173005542903,,Truth,5-6,combined_PCA,0.002
6,wasserstein2D,0.08561309207365594,,Indep,1-2,combined_PCA,0.002
7,wasserstein2D,0.08568209650895332,,Indep,3-4,combined_PCA,0.002
8,wasserstein2D,0.0657828084458741,,Indep,5-6,combined_PCA,0.002
9,wasserstein2D,0.08162084925551806,,Markov,1-2,combined_PCA,0.002
10,wasserstein2D,0.07200789944255359,,Markov,3-4,combined_PCA,0.002
11,wasserstein2D,0.0593322123146543,,Markov,5-6,combined_PCA,0.002
12,wasserstein2D,0.03897999950383767,,HMM,1-2,combined_PCA,0.002
13,wasserstein2D,0.015118557416625608,,HMM,3-4,combined_PCA,0.002
14,wasserstein2D,0.027294503176190803,,HMM,5-6,combined_PCA,0.002
15,wasserstein2D,0.0022158109062708517,,WGAN,1-2,combined_PCA,0.002
16,wasserstein2D,0.0022892545636853823,,WGAN,3-4,combined_PCA,0.002
17,wasserstein2D,0.002157755816595577,,WGAN,5-6,combined_PCA,0.002
18,wasserstein2D,0.002046603814035456,,RBM,1-2,combined_PCA,0.002
19,wasserstein2D,0.001999625646973132,,RBM,3-4,combined_PCA,0.002
20,wasserstein2D,0.002228824987530407,,RBM,5-6,combined_PCA,0.002
21,wasserstein2D,0.0026224654737877083,,GPC,1-2,combined_PCA,0.002
22,wasserstein2D,0.0023760456535979603,,GPC,3-4,combined_PCA,0.002
23,wasserstein2D,0.0025230160639180856,,GPC,5-6,combined_PCA,0.002
0,wasserstein,0.0,,Real,1,coupled_PCA,
