snp,maf,r2
2,0.16666666666666666,0.9532460393780632
4,0.14296407185628743,0.9466368904851462
5,0.23602794411177644,0.9908642357938083
6,0.2687125748502994,0.965508333883756
7,0.000249500998003992,0.0
8,0.000998003992015968,0.0
12,0.000998003992015968,0.0
13,0.000499001996007984,0.0
15,0.281437125748503,0.9991342386761096
17,0.009231536926147704,0.10391321190440697
18,0.000249500998003992,0.0
20,0.004491017964071856,0.004792303455460011
21,0.1664171656686627,0.9510888603871497
22,0.00124750499001996,0.0
23,0.1591816367265469,0.9510721168714393
24,0.16067864271457086,0.9501071571610747
31,0.000249500998003992,0.0
32,0.000998003992015968,0.0
34,0.27445109780439125,0.9703232089913367
36,0.000249500998003992,0.0
39,0.000499001996007984,0.0
42,0.00124750499001996,0.4001791544245123
43,0.00124750499001996,0.4001792861104018
44,0.000499001996007984,0.0
45,0.1724051896207585,0.9835035542078927
47,0.1724051896207585,0.9835035546098783
48,0.000499001996007984,0.0
49,0.003243512974051896,0.14847780305118743
52,0.0007485029940119761,0.49738270926750106
53,0.47380239520958084,0.9604766195092962
58,0.2624750499001996,0.9716442119362529
60,0.25673652694610777,0.9594441625130082
61,0.007734530938123752,0.02958748812958789
63,0.000499001996007984,0.0
65,0.17140718562874252,0.9811694817027699
71,0.001996007984031936,0.0
72,0.000998003992015968,0.0
74,0.2926646706586826,0.9949835745923311
75,0.47280439121756485,0.9908445473168658
79,0.0007485029940119761,0.0
80,0.0042415169660678645,0.39754799379314126
81,0.1936127744510978,0.9999999584338255
82,0.000249500998003992,0.0
83,0.000499001996007984,0.0
86,0.2465069860279441,0.9995319792371324
87,0.07285429141716566,0.9983006076742357
92,0.19461077844311378,0.9999999971796139
95,0.2307884231536926,0.9757400735972109
96,0.003992015968063872,0.02411056281936261
97,0.000249500998003992,0.0
98,0.4877744510978044,0.9924018912700521
103,0.010728542914171657,0.05871150293679543
113,0.10454091816367266,0.8942772859758543
118,0.16666666666666666,0.9999999451564666
119,0.45933133732534925,0.9884280495739862
120,0.14870259481037923,0.9854651978485413
121,0.000499001996007984,0.0
123,0.000998003992015968,3.715898637448122e-06
125,0.11926147704590818,0.9851946223803341
127,0.009481037924151697,0.43433395871453895
128,0.14021956087824353,0.9999489942087393
129,0.1694111776447106,0.9866083023184764
131,0.000249500998003992,0.0
132,0.34780439121756485,0.991269443209492
135,0.14845309381237526,0.9865931614930927
136,0.000249500998003992,0.0
139,0.11726546906187625,0.9997871653286986
142,0.003992015968063872,0.018058769483253228
146,0.4970059880239521,0.9818054159178613
147,0.002245508982035928,0.99928622999364
150,0.4660678642714571,0.9910028663937239
152,0.14520958083832336,0.9820096887762525
153,0.00124750499001996,0.0
155,0.00124750499001996,0.019447494770234736
156,0.1499500998003992,0.9723177927669039
158,0.008483033932135729,0.1810430188984049
159,0.19261477045908185,0.9660940226324914
165,0.00124750499001996,0.11675667333559873
167,0.1467065868263473,0.9764553432228401
168,0.17140718562874252,0.9952429794343071
170,0.0037425149700598802,0.9969107462030035
171,0.11926147704590818,0.9781543867788005
176,0.17115768463073852,0.986965672907627
177,0.00998003992015968,0.0873150913449043
178,0.001996007984031936,7.440939964743839e-05
181,0.16841317365269462,0.9954185910044694
183,0.36427145708582837,0.9692286708263137
184,0.004491017964071856,0.02215863848352688
188,0.4510978043912176,0.9895254705929907
190,0.36452095808383234,0.9735669718569423
192,0.000249500998003992,0.0
196,0.001746506986027944,0.0
197,0.17165668662674652,0.9658320972265589
198,0.0037425149700598802,0.6136028757768055
199,0.0037425149700598802,0.07369290427133052
204,0.1936127744510978,0.9568850653992802
207,0.0007485029940119761,0.123246058297964
208,0.000499001996007984,0.0
210,0.000998003992015968,0.7877879252645803
215,0.2662175648702595,0.13545028510302837
220,0.47105788423153694,0.9045808881714056
221,0.0007485029940119761,0.0
223,0.000249500998003992,0.0
228,0.000998003992015968,0.0
229,0.000499001996007984,0.0
230,0.00499001996007984,0.3352161461082665
234,0.015718562874251496,0.8184571631317156
236,0.014221556886227544,0.5993541957189742
238,0.000249500998003992,0.0
243,0.2272954091816367,0.9544253284506553
244,0.24700598802395213,0.9889741773968368
245,0.000499001996007984,0.12138945838610696
246,0.00124750499001996,0.0005553034721460897
248,0.000249500998003992,0.0
249,0.005738522954091816,0.9998815134172879
250,0.07634730538922156,0.986541311012105
251,0.000249500998003992,0.0
253,0.08932135728542914,0.9999934405132052
254,0.30164670658682635,0.9999999430500573
257,0.001996007984031936,0.9999999824036218
258,0.3018962075848304,0.999999998481566
263,0.000249500998003992,0.0
264,0.008233532934131737,0.2657155915538375
265,0.00124750499001996,0.0
268,0.05289421157684631,0.999999999052094
271,0.0007485029940119761,0.0
272,0.000249500998003992,0.0
274,0.05289421157684631,0.999999999052094
276,0.000249500998003992,0.0
277,0.29416167664670656,0.9891848696647685
278,0.000249500998003992,0.0
280,0.2584830339321357,0.9405442319325266
282,0.29740518962075846,0.9866272672389507
283,0.000249500998003992,4.442537245537313e-05
286,0.000249500998003992,0.0
288,0.21107784431137724,0.9967286671762252
291,0.04965069860279441,0.9999997287898295
292,0.312874251497006,0.9987125206825584
293,0.20184630738522955,0.973307639136994
298,0.08857285429141716,0.9999997848322417
301,0.2969061876247505,0.00881538013871873
302,0.000249500998003992,0.0
303,0.051646706586826345,0.9999999995267641
304,0.010479041916167664,0.18202240885165125
310,0.0007485029940119761,0.0
311,0.006736526946107785,0.9999999859367277
312,0.051646706586826345,0.9999999987581303
314,0.21731536926147704,0.9786808377808633
316,0.000499001996007984,0.0
317,0.000249500998003992,0.0
318,0.000499001996007984,0.0
320,0.04915169660678643,0.9999999393795882
321,0.056387225548902194,0.9999998309572604
322,0.000499001996007984,0.0
325,0.000499001996007984,4.064235081380694e-06
326,0.30439121756487025,0.9993536752808014
327,0.19635728542914171,0.9796879764931857
328,0.000499001996007984,0.0
330,0.2250499001996008,0.985077890638399
331,0.015968063872255488,0.546407659344942
332,0.20484031936127745,0.997397151343956
335,0.001996007984031936,0.7693465264657532
336,0.020958083832335328,0.49079695479846114
337,0.2986526946107785,0.9986046709699037
339,0.00124750499001996,0.0
341,0.02619760479041916,0.5615065562881291
343,0.06387225548902195,0.9834999591586976
346,0.000499001996007984,0.0
348,0.24500998003992014,0.999997232025784
350,0.0845808383233533,0.9183384740636907
351,0.0032435129740518986,0.0
352,0.005738522954091816,0.011768032850643564
354,0.3073852295409182,0.9948195946518741
355,0.000499001996007984,0.033907826495713694
356,0.0014970059880239522,0.0
357,0.000249500998003992,0.0
